,Date,AMZN,GOOG,MSFT,AAPL,AMZN_z_norm,GOOG_z_norm,MSFT_z_norm,AAPL_z_norm
564,2015-04-13,19.118000030517575,26.88468742370605,36.706878662109375,28.65850067138672,-1.032242160976792,-0.9295087296465061,-0.8936917311775586,-0.6554577758158806
565,2015-04-14,19.25550079345703,26.446889877319336,36.61018753051758,28.534242630004883,-1.0296568989891803,-0.9419696368378981,-0.8947549887754522,-0.6579763936215246
566,2015-04-15,19.17250061035156,26.55359649658203,37.14638137817383,28.64267921447754,-1.0312174519181982,-0.9389324766475002,-0.8888587687904469,-0.6557784649450472
567,2015-04-16,19.302000045776367,26.61692237854004,37.05849075317383,28.50486946105957,-1.0287826292985716,-0.9371300500592188,-0.8898252522029009,-0.6585717658444499
568,2015-04-17,18.777999877929688,26.13075828552246,36.583831787109375,28.184059143066406,-1.0386347761992596,-0.9509676005271881,-0.8950448079549941,-0.6650743516742792
569,2015-04-20,19.475500106811523,26.695707321166992,37.71773147583008,28.827939987182617,-1.0255205156705909,-0.9348876166187937,-0.8825759554404601,-0.6520233672818825
570,2015-04-21,19.55900001525879,26.62540054321289,37.48039627075195,28.67205619812012,-1.0239505670051219,-0.936888738466649,-0.8851857962386038,-0.655183015401054
571,2015-04-22,19.489999771118164,26.894411087036133,37.788047790527344,29.058385848999023,-1.0252478958671531,-0.9292319677794822,-0.8818027267624321,-0.6473524015692956
572,2015-04-23,19.499500274658203,27.275115966796875,38.09570693969727,29.29560089111328,-1.0250692692898153,-0.9183960729391346,-0.8784195733901308,-0.6425442296216982
573,2015-04-24,22.2549991607666,28.17564392089844,42.07756042480469,29.43341445922852,-0.9732609274677455,-0.8927646016074027,-0.8346333863630373,-0.6397508514012276
574,2015-04-27,21.92799949645996,27.76849937438965,42.21818923950195,29.96885871887207,-0.9794091100961285,-0.9043530411713055,-0.8330869709550464,-0.6288977956853082
575,2015-04-28,21.465499877929688,27.68400001525879,43.21146011352539,29.496675491333008,-0.9881049359047298,-0.9067581224253053,-0.8221645338485033,-0.6384685974715026
576,2015-04-29,21.4685001373291,27.45400047302246,43.12356185913086,29.06290626525879,-0.9880485256244341,-0.913304534056717,-0.8231311011570868,-0.6472607761038194
577,2015-04-30,21.089000701904297,26.867000579833984,42.75438690185547,28.27443122863769,-0.9951837985040173,-0.930012145259082,-0.8271907090219762,-0.663242576914901
578,2015-05-01,21.14349937438965,26.895000457763672,42.771968841552734,29.132944107055664,-0.9941591253070131,-0.9292151926878953,-0.8269973703914206,-0.6458411612969481
579,2015-05-04,21.152000427246094,27.03899955749512,42.40277862548828,29.07645797729492,-0.9939992902025772,-0.9251165872201238,-0.8310571460485692,-0.6469860930100607
580,2015-05-05,21.059499740600582,26.540000915527344,41.84021759033203,28.42127799987793,-0.9957384697089332,-0.9393194438087685,-0.8372433110573106,-0.6602661024056139
581,2015-05-06,20.95499992370605,26.211000442504883,40.6799430847168,28.24280166625977,-0.9977032544748823,-0.9486836908085351,-0.8500021924917105,-0.6638836845494964
582,2015-05-07,21.3439998626709,26.53499984741211,41.04912185668945,28.41748809814453,-0.9903893550179612,-0.9394617877898075,-0.8459425426787562,-0.6603429208865849
583,2015-05-08,21.684499740600582,26.910999298095703,41.97207260131836,28.95289421081543,-0.9839873440590425,-0.9287598222405442,-0.835793376198306,-0.6494906383813446
584,2015-05-11,21.64249992370605,26.78499984741211,41.63805389404297,28.657962799072266,-0.9847770162600026,-0.9323461088108845,-0.8394663906982138,-0.6554686780864563
585,2015-05-12,21.551000595092773,26.45199966430664,41.6204833984375,28.55588150024414,-0.9864973684318671,-0.9418241984224889,-0.839659603484575,-0.6575377898637916
586,2015-05-13,21.3435001373291,26.481000900268555,41.86659622192383,28.58763885498047,-0.9903987507544123,-0.940998744482101,-0.8369532401893802,-0.656894091973421
587,2015-05-14,21.61400032043457,26.920000076293945,42.8246955871582,29.25462913513184,-0.985312860130427,-0.9285036356476675,-0.8264175642400778,-0.6433746965516111
588,2015-05-15,21.299999237060547,26.6924991607666,42.45552062988281,29.213790893554688,-0.9912166460263149,-0.934978929576882,-0.8304771721049673,-0.644202457244147
589,2015-05-18,21.261999130249023,26.614999771118164,42.20062255859375,29.53594970703125,-0.9919311164740773,-0.937184772688085,-0.8332801417933428,-0.6376725384168107
590,2015-05-19,21.08550071716309,26.868000030517575,42.09445190429688,29.50872230529785,-0.9952496045207639,-0.9299836981782031,-0.8344476403322062,-0.6382244175390354
591,2015-05-20,21.19300079345703,26.963499069213867,42.09445190429688,29.50645065307617,-0.9932284094745192,-0.9272655361695691,-0.8344476403322062,-0.6382704622349773
592,2015-05-21,21.581499099731445,27.1254997253418,41.95288848876953,29.80818748474121,-0.9859239416156386,-0.9226545575160441,-0.8360043330160677,-0.6321544817447098
593,2015-05-22,21.381500244140625,27.00550079345703,41.49284744262695,30.0690860748291,-0.9896842803066499,-0.9260700530244667,-0.8410631437839369,-0.6268662619469784
594,2015-05-26,21.273500442504883,26.61599922180176,41.21858215332031,29.406625747680664,-0.9917148710893456,-0.9371563256072062,-0.8440790837971833,-0.6402938386006424
595,2015-05-27,21.57099914550781,26.989500045776367,42.12099456787109,29.955644607543945,-0.9861213596658785,-0.92652547776014,-0.8341557656974906,-0.6291656358645568
596,2015-05-28,21.328500747680664,26.98900032043457,41.97943878173828,29.896669387817383,-0.990680766294301,-0.9265397013005795,-0.8357123744852222,-0.6303610195744821
597,2015-05-29,21.46150016784668,26.605499267578125,41.457462310791016,29.556360244750977,-0.9881801376579274,-0.9374551828214012,-0.841452254032805,-0.6372588320429455
598,2015-06-01,21.54599952697754,26.699499130249023,41.7848014831543,29.615345001220703,-0.9865913975195563,-0.9347796914340853,-0.837852690594321,-0.6360632550303504
599,2015-06-02,21.54949951171875,26.958999633789062,41.51054382324219,29.4837646484375,-0.9865255915028096,-0.9273936023218462,-0.840868546711438,-0.6387302906258521
600,2015-06-03,21.829500198364254,27.015499114990234,41.44860076904297,29.520063400268555,-0.9812610743014863,-0.9257854736390333,-0.8415496993872812,-0.6379945420041319
601,2015-06-04,21.53899955749512,26.834999084472656,41.01509475708008,29.34764289855957,-0.9867230095530497,-0.9309229947304288,-0.846316719416564,-0.6414893769527036
602,2015-06-05,21.34749984741211,26.66650009155273,40.82046890258789,29.186567306518555,-0.9903235490012146,-0.9357189336979888,-0.8484569096814684,-0.6447542590453038
603,2015-06-08,21.174999237060547,26.34149932861328,40.45774841308594,28.993730545043945,-0.993566871156293,-0.9449693380859175,-0.8524455414207558,-0.6486629163493425
604,2015-06-09,21.27400016784668,26.33449935913086,40.386966705322266,28.90751838684082,-0.9917054753528947,-0.9451685762287142,-0.8532238877626864,-0.6504103724841623
605,2015-06-10,21.53849983215332,26.83449935913086,41.23627471923828,29.238750457763672,-0.9867324052895007,-0.9309372182708683,-0.8438845286727492,-0.6436965454967964
606,2015-06-11,21.648500442504883,26.730499267578125,41.085880279541016,29.17295837402344,-0.9846641956994113,-0.9338973433319397,-0.8455383311265685,-0.6450301019550811
607,2015-06-12,21.496000289916992,26.616500854492188,40.67007446289063,28.85080337524414,-0.9875314732269118,-0.9371420477784445,-0.8501107121352875,-0.6515599434613496
608,2015-06-15,21.183500289916992,26.36000061035156,40.23655700683594,28.79408073425293,-0.9934070360518571,-0.9444427413597246,-0.8548778580087648,-0.6527096690806727
609,2015-06-16,21.363000869750977,26.40749931335449,40.54620742797852,28.948352813720703,-0.9900321018632853,-0.9430907992697884,-0.85147280774665,-0.6495826891126942
610,2015-06-17,21.390499114990234,26.46299934387207,40.67007446289063,28.88030242919922,-0.9895150853273524,-0.9415111176678543,-0.8501107121352875,-0.6509620196431832
611,2015-06-18,21.96949958801269,26.83650016784668,41.333595275878906,29.011882781982425,-0.9786288336316196,-0.9308802698207882,-0.8428143496441675,-0.6482949840476814
612,2015-06-19,21.746000289916992,26.83449935913086,40.78507614135742,28.721485137939453,-0.9828310229669555,-0.9309372182708683,-0.8488461038264661,-0.6541811276635793
613,2015-06-22,21.81450080871582,26.909500122070312,40.90010070800781,28.95063018798828,-0.9815430898413752,-0.9288024928618624,-0.8475812438292559,-0.6495365284351505
614,2015-06-23,22.29949951171875,27.02400016784668,40.616981506347656,28.819040298461918,-0.9724242407229409,-0.925543510586596,-0.850694545300849,-0.652203757333322
615,2015-06-24,22.04199981689453,26.892000198364254,40.37811279296875,29.06406021118164,-0.9772656987528414,-0.9293005882188542,-0.853321249221033,-0.6472373864807759
616,2015-06-25,22.0049991607666,26.761499404907227,40.386966705322266,28.925668716430664,-0.9779613777277018,-0.933014995229794,-0.8532238877626864,-0.6500424788430352
